sample_id,CD3D,CD3E,CD8A,CD8B,GZMB,PRF1,NKG7,GNLY,MS4A1,CD79A,CD68,CSF1R,LYZ,MKI67,FOXP3,IL7R,CXCL9,CXCL10,CXCL11,CCL5,IFNG,PDCD1,CTLA4,LAG3,TIGIT,HAVCR2,IDO1,CD274,TGFB1,COL1A1,COL3A1,ACTA2,FAP,VIM,EPCAM,KRT8,KRT18,KRT19,MUC1,STAT1,IRF1,HLA-A,HLA-B,HLA-C,B2M,HLA-DRA,HLA-DRB1,MMP9,MMP2,VEGFA,ANGPT2,MYC,TP53,EGFR,KRAS,BRAF,PTEN,PIK3CA,JAK1,JAK2,TAP1,TAP2,PSMB8,PSMB9,GBP1,GBP2,OAS1,OAS2,ISG15,MX1,CCL2,CXCL12,CXCR3,CCR7,SELL,S100A8,S100A9,CD4,IL2RA
A_001,3.880535136153791,4.97146785025184,5.355174160841741,4.557729875851507,5.68405124819157,3.3187837573643364,3.9838701424685485,4.864558873892399,6.650821739776469,5.090000065665405,7.444838496146843,7.997310296352863,6.955010481581585,6.320384897137975,7.66288548428126,4.979220116554875,2.855537937362703,4.809707524151809,6.669137197043409,9.30761480857006,4.697560124885067,6.979935682541585,7.882189410822436,6.138868666645532,5.203767721112471,6.631285636145881,6.300229352203083,5.942784638351849,8.592151275330039,5.9374191342662845,7.186954809771926,6.881873706003669,7.615394858934349,9.576875146965651,5.916001360012379,7.569606236910741,7.031811372584169,7.65760628584291,7.701844565160862,7.055723040336852,5.10033248601575,6.8353819434538625,6.271435933131209,8.4576914808871,5.671657634662422,4.131209215937646,7.741327729179949,6.266798109925215,8.333471821520572,6.2595130175994536,6.3565511533110515,7.1552399963304545,7.010088201771216,6.836607230689113,6.790229020835713,5.805634786702153,4.2999904467104155,8.639316679197337,7.194076762744826,6.837528488031172,7.8684441602589,5.45535579219203,6.878589143427819,7.90332118743978,6.8458959587316945,6.152020972388892,8.421610398486209,7.001718092342035,5.5740981639351395,5.177658924373978,7.255859166008994,8.524708829107581,8.410783515495144,6.634235976859261,8.055555742602047,6.375715520335823,6.123407892258549,6.545880673237763,7.203140611463668
A_002,9.109315723694735,10.265532203790503,10.817313726980778,8.279662782215594,11.438189001922389,7.741908320997483,8.159513880578166,5.729540339749285,8.217695621997052,5.236710957183782,7.181468191208857,7.142043232033586,6.987574576092278,5.970101054064998,6.3773741821134875,9.7443994622847,8.156045223495626,9.650489812946828,7.589427088653918,9.482755323417463,9.708243226090934,7.029056576638731,7.092332438219275,5.544802450660377,5.532308790395537,8.058028157774313,6.63816711950655,7.56573496942475,8.024970376730446,3.6732821466236607,5.33922723886625,5.350635718603334,5.693545793156774,9.777616897746237,7.091216421000761,6.870524638940831,7.091889386455576,7.567779057021647,6.888381075355743,7.763379048572194,5.583087691168877,6.508123126463622,6.113164584612408,8.520238044789492,5.640250074454602,8.958649493290714,5.931562753660874,5.613856545921719,7.905926694980177,6.678886662898721,6.621835938398881,6.7127136717806515,7.503305960826146,7.52709560813048,5.697476089887497,6.2127245312506325,6.305361318839701,9.078076739162237,7.704395186097682,6.726603077972348,6.3324261582862285,5.112737245359552,7.0408480012648065,7.714765100415978,7.115866044622813,6.527841319529535,7.541656903776582,7.290722843878655,6.5728505840313955,4.888735904396135,8.008234239299336,7.549840712671013,8.879943443192488,6.115713324031738,7.502029524502783,4.943919307328563,7.140597225299516,10.420956184893452,7.633403340812377
A_003,7.313362225835768,8.422367683547321,9.933139143098469,7.171882809268089,8.678706275729855,7.429593085935462,6.807021576684344,6.405176388266409,6.727787483582578,4.185666341689011,5.9564607090824255,7.7605956483569685,6.7483526126057765,5.912053371245648,6.740144835060944,7.972734360263063,6.296749795101851,8.18828389522819,5.93038382816367,9.589854999208637,9.015270925514436,7.574756897823173,6.771635624609058,5.694590275070832,5.646148735303541,7.579295768186523,6.603694368715712,6.037548322334648,8.839069225155567,4.370598045654528,6.431372078802644,5.4156353692266075,5.6374194350757305,10.287891321366654,6.978772219567237,7.365496395145152,7.34735616775985,7.511694682053506,7.264788561735733,7.306276527041201,6.508129622527342,6.774746831451963,7.040137586969712,8.460430307250546,5.017409445614785,7.698125679721981,6.583424540769845,6.069289419723841,8.081920689497464,7.814486273780436,5.087883094368852,6.547141155396268,7.382314165253576,7.030549220264557,5.4661713045272124,6.17425133770467,6.277088341713819,8.996527661567875,6.366520959846578,6.53911679141663,6.650872712231777,6.199234591559695,6.089566815695037,7.586571755871265,7.190673750294695,7.127758940967732,8.44483698877803,6.91150832731718,6.860984309789789,4.8642244662915175,7.904550854247055,6.79518598721169,8.431425378970474,6.34281201970167,8.598738143986093,5.673633994711097,5.575387768369648,9.516536167964162,6.885566727140946
A_004,6.752924880868037,8.372095438909842,7.318236264477777,6.735424620556431,7.862110705999157,4.127277766136407,5.311513052265711,5.930969761437774,7.40324335326992,6.277425516883325,7.331638022159487,9.203388726310253,6.892047351282494,6.516708175079606,7.247386881348886,6.4859162216547235,4.032365244086192,6.530337292109082,6.4173083304992256,9.439249200463554,6.987288578740115,7.288697258572892,8.2231348988907,4.67847205643808,5.094913660032393,6.509047377831569,7.188887815931388,6.496543235892941,8.653975076626818,4.412326656953984,6.605240231377473,5.254000842206424,5.695361044879959,9.601251258684623,6.379925555540419,7.206877457423177,6.359985345337538,7.483998002144559,8.56694526663018,6.848339178183242,6.580024442548234,5.795370265250064,5.749805006517878,9.802442018444374,6.262347311120049,5.490854034752247,7.446316937564074,5.985163232228102,6.795925914092586,6.162674167748145,6.529410726260839,7.557000367763392,6.333038870908083,7.325377806599469,6.954729073845002,6.475164767583999,6.49251138306401,8.547326388490333,7.387580077757904,7.339560336132597,7.4873754918573425,6.325106521738486,7.614329019408078,7.436838693120832,7.292466114796475,7.024499881755595,8.036140331143502,6.237629674301219,6.728535331886414,5.347301607811874,8.066163338614642,8.408965335515598,8.640499283736132,6.108477566557679,8.427771100337898,5.838092970574452,5.2470202842635425,7.501949888401786,8.013699706302926
A_005,6.529873198686678,7.292275330616246,6.907502706883225,5.5311067424001985,7.485781949978238,5.218057782563919,5.118979521386011,6.327036521444626,6.938415897251538,5.216174521457873,7.154482119530806,7.397803480579123,6.370126105291921,6.863057273938679,7.388735385349189,7.539599336201401,3.6985153845675205,6.402871436378353,6.715006641041495,9.924919308846796,6.861448842273166,7.615010254725933,8.130485878866745,5.775034067229305,6.040165373126172,7.321266217750158,7.634103737556595,6.867433837569619,7.811656565858104,4.861274589109433,6.617018399778088,6.251464210683535,5.170075002242344,9.474120253844967,7.230416709930501,7.751572120949675,7.564653617961792,8.129529837501439,7.387313878170882,8.332902540520289,5.918923150694545,6.484510135307624,6.454713360227224,7.571693502342819,5.653461131281794,6.306078023051646,7.024953757175761,5.813032185222013,7.643170032457251,5.700787266789119,5.8865065011611835,7.886626274679832,7.188154135167571,7.6188174498441,5.844147947978585,6.0875291133888565,6.724735782105349,9.299409446380023,8.037627182550482,6.441066904469793,7.211486963791459,6.430008446413427,6.268076647801037,7.784097386518857,7.196792454429163,6.719154718327771,8.49947243058863,7.9749439832934605,7.062090081210004,5.086335209388544,8.045088767616138,8.145798656018398,8.895721915205492,5.611165670393535,8.001577610547995,6.127735129443318,5.090889164489231,7.621570746237913,7.150042446149684
A_006,8.66362115218452,9.04666071649438,9.17075912602865,7.684335833759561,9.641746002497605,6.8820606673723415,7.615659975427949,4.84114142769189,5.849598210656934,5.005781784907203,7.154517755576786,8.140086165187117,5.81069080147784,5.029603589003592,7.149228872378986,8.649386997242514,6.295077979277868,7.686214236547585,7.1850767586855175,9.657644151454768,7.884519898018884,5.812496124582098,7.516356929053611,6.450692897164763,5.782129553192888,6.178031333756833,6.348106656292013,7.834935765761051,8.52387776890432,4.833793550483583,5.760281115851068,5.682782698857731,6.478035137604175,9.09970263305088,4.578545396108225,5.880724165255304,6.399459550643645,5.367477154744877,5.976116739951757,7.037931666788448,5.402843964516463,6.331273465904367,6.071230704341971,7.67753339871226,5.570766508552851,6.89685016180229,6.526860324705353,6.7932834855145305,7.462968941123451,6.578113926034575,6.355974635850392,4.759398875450401,7.652567645120574,7.25318034595651,7.132403389314884,5.380310778855749,8.035250073935535,8.349560612964723,7.3205287923331115,6.619422329490743,7.560999080496304,5.119588041921228,5.889245990347254,7.118997611516747,6.841321091932368,6.226463487602523,7.696848255460013,7.2273870906690885,6.839908678218635,5.057837420772933,8.373206055969026,8.108957602492746,7.391813978711377,6.689550914043761,8.447398777103055,6.575571227798671,5.775666286848732,8.985992420599072,8.434365531621008
A_007,3.661191125022777,5.924750126912784,4.405280248788663,3.429025967694107,5.620108692204509,2.336936026309468,3.2654519866363527,5.620830843663933,6.318246536343583,3.9787011912404364,6.250071686164249,8.088165904447154,7.093119688645011,5.803560849341304,7.419915260604486,5.479562112636605,2.245718502627533,3.7683900641493935,7.007135459932843,9.195144854791284,4.95778199800019,7.471116258439945,8.084060052567825,5.800887854830745,6.2674184144171665,7.8166691285521805,7.460005037906598,6.702823295567962,11.24749030241045,6.871969024562094,8.00668995827373,7.7878508943933475,7.114366019179175,9.635870934767667,5.387642798246534,6.922406113223609,6.512745875184831,6.650858765947594,6.294402569340546,8.118556120450377,5.516667871716199,6.605982224388851,5.680536390032097,7.732032768015901,6.390375116579921,3.46096571226946,5.48548158466971,6.17816705444164,7.74036657136655,7.023615434266334,6.4480384773861426,6.969711510699516,6.848333302508146,6.5796480350873265,5.3762552161353305,5.641604934799417,6.151435113053707,8.262998814631537,8.2546500080097,6.863315757902668,7.901044954365039,5.439099738690617,5.356060813142948,8.161344155073136,6.4061558985066,6.160161515250055,8.62174596607105,7.722760619152168,6.2345225992471995,4.727782627382943,8.110287488996505,8.918134041934175,7.9110257761923926,6.5999298418172785,8.346340831503017,6.791552762931043,5.280664239145726,6.261130710090266,7.304483209733948
A_008,3.0669238320069585,4.8182314058571025,5.3237745858539816,3.383133658505324,5.252601457763445,1.9624640291084425,3.4265862361738497,6.489286322971124,6.8659519490372185,4.95629217092065,6.922572327005288,6.984218238729891,7.036272274125443,8.02989822743238,7.203518352347855,3.9327276948140533,1.2758499958910536,3.7866944017475133,6.601304480999359,8.16689189895614,4.14237324655018,6.783229137899026,6.718276439636097,5.261711147206159,5.63492914359569,7.693252290895245,7.61730732061299,7.20764009010658,9.068405862843058,4.279169699888511,6.043426945858131,5.967734787037359,5.649744357920019,9.122947387484531,7.492067730547556,7.624817752341931,7.516011010059745,8.426258904132164,7.361315580890857,7.622704486850669,6.08880660556723,6.647442193970282,6.724133033963951,9.01919584694391,4.801274785708309,2.0918666721218986,6.225916101013451,4.7621610947541555,7.769170234839606,6.891401761698924,6.157194969716039,7.778656524828256,6.8288269612340695,7.033213328002252,6.71798860542292,6.207959952144665,6.171476625025649,9.277185707349574,7.2798511720599315,6.171608364610086,6.961836582705853,5.369416225885416,5.824504828255805,8.009958787011044,6.825094105679303,7.170035783379726,8.51627971570858,7.8130394889778305,7.5082953825893455,5.11014143369809,8.368233728905146,7.360376581720121,8.213190646640607,7.052729508375137,8.533426654330466,5.824869211247437,6.059323227965328,4.563096165873602,7.515471077678451
A_009,4.403544804255967,5.929248528781415,5.974869839588766,4.713983469272787,6.904020485313177,3.161729395068004,3.494986412202963,6.2900117337471855,6.540358469532545,4.813188455398389,7.293994703495865,8.80894399378093,8.057183326321281,7.010960853554213,7.722916499303727,5.732814296663302,2.3265276984454033,4.99490197360163,5.954241286214337,8.61748786223826,6.185178917604372,7.293862391362781,6.648334507275113,5.964791507676934,5.337096434727081,7.546589146706658,6.682853549809319,6.810578292292988,9.323895601689063,4.501397471443794,6.3796209258514445,6.066669540374318,5.989596167592601,9.419211463303629,8.209750914609113,7.932974412251697,7.546631359364984,8.688156883051386,8.179519263403051,7.346986507209721,5.00082805289076,6.7304134642312174,6.10186294164834,8.696031142368595,5.272293219867726,3.33903533270069,6.5561991701943745,5.798512370974042,8.086211370430666,7.371409940011511,6.026397540037833,8.828619901607853,7.31778084253412,8.00599518857579,7.1815133820847254,5.0463073750503735,6.170458607625914,9.110972501366662,7.952300565475505,6.713351556238452,7.008281164818245,6.448151187766695,6.291401566299844,8.12116607314181,7.067807776148314,6.815503247520039,8.741041982539864,7.272561787181183,6.2328430426431725,4.8797474997039165,8.265423498591208,8.14297613219788,7.769060655382029,6.241671981683843,9.084180697874745,6.674175177339123,5.615031324942632,5.224504431012355,7.742928495657532
A_010,5.358838855781487,8.551751717304619,7.449281070954916,5.973801520072967,6.9912380272089445,5.069869577995812,5.693554049081636,5.715911083847704,7.350544637217885,5.5754626380403645,7.89021492982151,7.861711625918723,7.051207688431321,6.210503327863763,6.509266931236891,6.368905864390472,3.5311703903110927,5.45552757581954,6.511378874719027,8.882956281635398,6.782334843217194,7.509878549670871,7.037778421128083,6.162878207123738,5.370841911582188,6.583429435727057,6.995646185824962,7.895265393439599,9.116463630100805,4.803213438949095,7.628277200808789,7.135601153716021,7.015012477739167,9.262659393490035,6.863698198685386,8.47546389941829,7.241084514318532,6.48603534790473,7.472007026611613,7.077561896737153,5.772957738442242,6.156257236070192,6.258484085183881,8.685949350630896,5.421795009222523,4.88828360460447,5.561983957719871,5.219571898985144,7.646008859332842,7.431456267543284,6.213818730017761,6.052094860833894,6.2011806031210694,6.385138598452089,6.349208974906485,5.439343439677725,6.822268247896516,9.567750059073706,7.591180236214439,6.624118845900702,7.12585924859276,5.40470772791752,7.046537925136615,7.489789633007261,8.2984872799322,7.198938197308229,8.198157681257497,7.698543456331338,6.847818586534447,4.982635940511818,8.05735732454354,8.574502200137514,8.989070638686474,6.808639591399813,9.351313984900274,6.6471692570776675,6.302547634940643,6.869681240327495,7.452090368839138
