gene_symbol,ensembl_id
CD3D,ENSG00001000000
CD3E,ENSG00001000001
CD8A,ENSG00001000002
CD8B,ENSG00001000003
GZMB,ENSG00001000004
PRF1,ENSG00001000005
NKG7,ENSG00001000006
GNLY,ENSG00001000007
MS4A1,ENSG00001000008
CD79A,ENSG00001000009
CD68,ENSG00001000010
CSF1R,ENSG00001000011
LYZ,ENSG00001000012
MKI67,ENSG00001000013
FOXP3,ENSG00001000014
IL7R,ENSG00001000015
CXCL9,ENSG00001000016
CXCL10,ENSG00001000017
CXCL11,ENSG00001000018
CCL5,ENSG00001000019
IFNG,ENSG00001000020
PDCD1,ENSG00001000021
CTLA4,ENSG00001000022
LAG3,ENSG00001000023
TIGIT,ENSG00001000024
HAVCR2,ENSG00001000025
IDO1,ENSG00001000026
CD274,ENSG00001000027
TGFB1,ENSG00001000028
COL1A1,ENSG00001000029
COL3A1,ENSG00001000030
ACTA2,ENSG00001000031
FAP,ENSG00001000032
VIM,ENSG00001000033
EPCAM,ENSG00001000034
KRT8,ENSG00001000035
KRT18,ENSG00001000036
KRT19,ENSG00001000037
MUC1,ENSG00001000038
STAT1,ENSG00001000039
IRF1,ENSG00001000040
HLA-A,ENSG00001000041
HLA-B,ENSG00001000042
HLA-C,ENSG00001000043
B2M,ENSG00001000044
HLA-DRA,ENSG00001000045
HLA-DRB1,ENSG00001000046
MMP9,ENSG00001000047
MMP2,ENSG00001000048
VEGFA,ENSG00001000049
ANGPT2,ENSG00001000050
MYC,ENSG00001000051
TP53,ENSG00001000052
EGFR,ENSG00001000053
KRAS,ENSG00001000054
BRAF,ENSG00001000055
PTEN,ENSG00001000056
PIK3CA,ENSG00001000057
JAK1,ENSG00001000058
JAK2,ENSG00001000059
TAP1,ENSG00001000060
TAP2,ENSG00001000061
PSMB8,ENSG00001000062
PSMB9,ENSG00001000063
GBP1,ENSG00001000064
GBP2,ENSG00001000065
OAS1,ENSG00001000066
OAS2,ENSG00001000067
ISG15,ENSG00001000068
MX1,ENSG00001000069
CCL2,ENSG00001000070
CXCL12,ENSG00001000071
CXCR3,ENSG00001000072
CCR7,ENSG00001000073
SELL,ENSG00001000074
S100A8,ENSG00001000075
S100A9,ENSG00001000076
CD4,ENSG00001000077
IL2RA,ENSG00001000078
