symbol,entrez_id
LYPD3,27076
CTD-2369P2.12,
RP11-837J7.3,
TFCP2,7024
NEDD4,4734
AC002511.3,
MIR155HG,114614
AC016907.1,
CTB-13F3.1,
CELF2,10659
LIMD1-AS1,
LIMD1-AS1,644714
CTC-444N24.6,
AC107018.1,
LIG4,3981
RP11-141M1.1,
RAD51AP2,729475
CNTNAP3C,100289279
RP1-53O8.2,
AASDH,132949
TNFRSF4,7293
RNU6-632P,106479846
LOC102467081,102467081
ABHD12B,145447
LOC101927437,
TRIM11,81559
RP11-390B4.3,
AP000439.1,
AC105265.1,
CDH8,1006
RP11-149I23.3,
AL451007.3,
LOC440416,
RP11-497G19.3,
SCARNA9L,100158262
RPS27AP6,100271144
ZNF708,7562
RPL23AP46,
RPL23AP46,442260
ZNF134,7693
DNAJC2,27000
CTD-2011F17.2,
GALNTL5,168391
MIR500A,574502
RNU7-174P,106480829
RP11-543B16.1,
SRSF3,6428
LOC101928847,
RP11-769N19.2,
EXOC7,23265
CTD-2095E4.3,
IGHV1OR15-3,
IGHV1OR15-3,646370
IDI2,91734
RP13-152O15.5,
AC084121.11,
RP11-586K2.1,
WNT3,7473
SPRY4-IT1_1,
CYP4A22,284541
RNU6-694P,106479872
AL365331.2,
LRIT1,26103
CIPC,85457
LINC01301,
LINC01301,100505532
RP11-330C7.3,
RP3-395M20.7,
RP11-227P3.1,
RP11-126O22.1,
ARF4P1,
ARF4P1,380
GPRACR,401554
H2AC14,8331
GNAI3,2773
RP11-548H18.2,
AC093523.1,
RP11-783K16.14,
RPL23AP16,647201
RP11-556G22.3,
TP53AIP1,63970
MIR3175,100422995
RCVRN,5957
CTD-2017D11.1,
QTRT1,81890
GRAMD2B,65983
RP11-600K15.1,
PROX2,283571
RP5-1007F24.1,
RP11-864N7.4,
OR52A4P,390053
OR52A4P,
LRRC70,100130733
RIDA,10247
LINC01078,
LINC01078,106144536
MAEL,84944
BAK1,578
RP11-266K4.1,
SLC47A1P1,107075108
SLC47A1P1,
RP11-159F24.3,
LOC100507250,100507250
AC007956.1,
RP11-783L4.1,
NFE2L2,4780
RP6-105D16.1,
DRC3,83450
AC068533.1,
RP11-238F2.1,
MRPL40P1,645328
TAF5,6877
RPL21P110,100271438
LYPLA2P2,
LYPLA2P2,388499
RP11-170L3.5,
FAM109A,
RP11-373F14.2,
RP11-566K19.5,
RNU6-230P,106479669
OR11H4,390442
CILP2,148113
LINC01337,103689917
RP11-1038A11.2,
RNU6-813P,106481438
CTA-228A9.3,
AHCY,191
MYL12A,10627
RP11-703I16.2,
TRBV22-1,28565
TRBV22-1,
PDGFA-DT,441307
RP11-266J6.2,
FOXN3-AS1,400236
SLC2A4RG,56731
CTC-457E21.5,
RPSAP53,400141
RP11-305E6.4,
MIPEPP2,
MIPEPP2,100130099
UPB1,51733
RNU6-984P,106481927
AC118553.2,
RP11-578B16.1,
ZNF526,116115
RP11-806N19.2,
RP11-521L9.2,
RP11-514F3.4,
RP11-410D17.2,
AP000758.1,
C8orf31,
MIR4747,100616337
ZFP69B,65243
RP11-826N14.1,
FBRSL1,57666
RP11-647P12.2,
C15orf65,
CDH23-AS1,102723377
OPRM1,4988
TTC3,7267
SPCS2P3,
SPCS2P3,100288739
PEX11B,8799
RP5-843L14.1,
PTPN6,5777
OR13D2P,392375
RP11-101B14.4,
NARR,
MIR523,574471
CTC-312O10.2,
PPP1R3B,79660
FNDC9,408263
RN7SL304P,106479333
RP11-95G17.2,
MRPS16P2,
MRPS16P2,128609
ST3GAL4,6484
HMGB2P1,
HMGB2P1,729119
PBX4,80714
RP11-554D15.2,
RP11-142L1.1,
RP11-161I2.1,
TEX264,51368
SNX29P2,
SNX29P2,440352
RP11-346M5.1,
RP11-429E11.3,
AL137190.1,
PON1,5444
SLC7A2,6542
RNA5SP206,106478999
LGALS7,3963
MTCO3P39,107075313
MTCO3P39,
EEF1A1P15,
EEF1A1P15,643563
AC000077.2,
FP565260.4,
RP11-498D10.8,
GRPEL2P1,
GRPEL2P1,100874360
SATB2-AS1,150538
TMED6,146456
RP11-174O3.1,
CHEK1,1111
SERP2,387923
HIST2H4B,
CRB1,23418
RP11-10O17.3,
HTR3C,170572
ZSWIM8-AS1,100507331
MAZ,4150
ANKRD9,122416
RP11-565F4.1,
LMBR1L,55716
RP11-55L3.1,
RP11-680N20.1,
RNASE4,6038
C2orf61,
MIR4508,100616275
RAPGEF2,9693
RN7SL180P,106480970
DDX11L2,84771
DDX11L2,
SUOX,6821
SEC14L4,284904
CACUL1,143384
NENFP2,
NENFP2,100129880
RPL7AP7,353013
RPL7AP7,
RPL7AP7,
RPL7AP7,
RPL7AP7,
RPL7AP7,
RPL7AP7,
RPL7AP7,
RP11-983P16.4,
RP11-262H14.11,
AC008169.1,
POC1A,25886
SPATA19,219938
DOK2,9046
DDX10,1662
MIR497,574456
SCO2,9997
SELENOI,85465
FAM58DP,
MIR548AW,100846992
RP11-247C2.1,
LINC00500,
ANGPTL5,253935
TMPOP1,
TMPOP1,
TMPOP1,
TMPOP1,
TMPOP1,
TMPOP1,
TMPOP1,100129772
TBC1D2B,23102
RNU6-807P,106479923
AC003973.5,
GGH,8836
RP11-517C16.2,
SLC29A1,2030
RP4-583P15.14,
ACTR3BP3,
ACTR3BP3,647156
DNALI1,7802
ZCCHC12,170261
GEMIN5,25929
USHBP1,83878
RNY3,6085
SNX18P4,
SNX18P4,100418976
RP11-13K12.1,
INSL4,3641
AC013472.3,
AC018867.1,
RN7SKP232,106480905
CHD1L,9557
RP11-459D22.1,
MIR15B,406949
RP11-696N14.1,
RNU6-494P,106479785
CMB9-94B1.2,
SLC6A2,6530
INTS8,55656
CLC,1178
RP11-527H14.1,
MIR4642,100616352
AC006076.1,
RNU6-607P,106481772
SDAD1-AS1,101928809
B3GALNT2P1,
B3GALNT2P1,100130402
RP11-46C24.7,
RP11-71G12.1,
RNU6-822P,106479930
GGTLC2,91227
RP11-182E7.1,
RP11-152O14.3,
HAR1A,
HAR1A,768096
AC005786.6,
ZNF135,7694
MIR4305,100422940
YES1P1,
YES1P1,7526
ALDH1A3,220
AL365205.1,
RP11-630C16.2,
RP11-111F5.5,
KRT8P30,
KRT8P30,391485
KRT17P4,
KRT17P4,339186
MIR3679,100500878
C1orf53,388722
ABCA7,10347
AP003419.11,
LOC100132891,
RP4-705D16.3,
COX7A2P1,
COX7A2P1,319098
SNORD88C,692204
CLEC14A,161198
NKX2-1,7080
HMGN1P3,
HMGN1P3,100036574
OR52W1,120787
AC005052.1,
RNA5SP503,100873554
AC011558.5,
RP11-82K18.2,
LINC01366,
LINC01366,257358
SNX19P1,
SNX19P1,378810
CFAP47,286464
CTB-52I2.4,
ATAD1,84896
OR2M2,391194
RP11-321E2.13,
SMOC1,64093
PRKD1,5587
RP11-307L14.2,
LAX1,54900
RP11-711M9.2,
SOX14,8403
AC133680.1,
LINC01756,101928460
RP5-1077I2.3,
RTP5,285093
MIR342,442909
CUBNP1,728064
ATP11A,23250
ADAT1,23536
RP11-597K23.1,
KRT24,192666
RHOQP2,
RHOQP2,730041
CTD-2591A6.2,
CTD-2184C24.2,
RP11-369F10.2,
VDAC1P1,
VDAC1P1,642585
MOB3C,148932
TRAM1L1,133022
RP11-542G1.3,
RAB3GAP2,25782
RP11-481J13.1,
SCXB,
RP11-697E2.12,
NEUROD1,4760
RP11-126K1.2,
RP11-364P22.2,
RP11-394I13.3,
CTD-2541M15.3,
RP11-392E22.5,
MACIR,90355
ARHGAP42P5,
ARHGAP42P5,100128514
SCXA,
AL513547.1,
RNA5SP387,107133508
LINC01596,105377617
CHSY3,337876
PRELID3B,51012
MTO1,25821
FLJ42969,
HOXA3,3200
SAMM50P1,100271893
RP11-863P13.5,
MIR6890,102465536
FAM69B,
VAMP8,8673
MTATP6P17,107075274
RNU6-71P,100873774
DNAAF1,123872
UGT2B4,7363
TPTE2P1,
TPTE2P1,646405
RP5-921G16.1,
RP11-160C18.5,
ZNF678,339500
RN7SKP208,
RN7SKP208,106481817
RNASEH2B-AS1,
RNASEH2B-AS1,100874255
NTS,4922
RNU7-119P,106479070
LINC01028,101928141
OR4A48P,
OR4A48P,403254
C10orf120,399814
AL627171.2,
RP11-1055B8.10,
ARMH3,79591
SGSM1,129049
DKFZP434I0714,
RP11-397E7.4,
RP4-575N6.2,
CHCHD4P2,
CHCHD4P2,100128657
ANKRD34B,340120
RP11-317M11.1,
MIR500B,100422911
MOSPD2,158747
TCTEX1D2,
CDC14B,8555
RP5-1112D6.4,
AC009299.5,
RP11-359D14.3,
PRKD2,25865
CCDC169-SOHLH2,100526761
RP11-933H2.4,
RNU6-991P,106480004
TUBGCP5,114791
AC018799.1,
RP11-468E2.11,
RP13-895J2.8,
AL359922.1,
MIR6740,102465443
PNMA6E,649238
RNU6ATAC41P,106481869
PPIAL4G,644591
LEO1,123169
RPL21P71,729962
FAHD2P1,
FAHD2P1,729610
RP11-565P22.2,
USP2,9099
NAP1L4P2,
NAP1L4P2,100874319
FMO2,2327
AC006987.7,
RP11-507K2.2,
FCN2,2220
RASSF2,9770
AL359973.1,
LINC01540,
AC012668.1,
AC007115.3,
MIR1193,100422837
RP11-134D3.2,
MZT2A,653784
SSR2,6746
RP11-981G7.6,
VSTM1,284415
AC114765.1,
DEFB136,613210
F2RL1,2150
